0	16.66
1.33	15.34
3	14
5.33	10.66
6.33	8.67
8	6
9.67	4.66
12.33	4
13.67	4
18	4.66
24.67	5.66
31.33	6.34
48	7.34
85.67	8.66
90.67	10
95.67	9.95
105.67	9.95
110.67	10
120.67	10.1
130.67	10.2
140.67	10.35
150.67	10.6
160.67	10.8
190.67	11
627.67	11
677.67	11.2
727.67	11.3
777.67	11.6
827.67	12.2
877.67	12.6
927.67	13.4
977.67	14.8
1027.67	16
1077.67	17.8
1127.67	20.3
1177.67	23.2
1202.67	25
1227.67	27.2
1252.67	30
1277.67	33.2
1287.67	34.8
1324.67	48
1336.67	58
1343.67	68
1349.67	78
1353.67	88
1356.67	98
1358.67	108
1361.67	118
1365.67	128
